PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,fatigue_flag
Chet Holmgren,OKC,28,17.9,7.6,3.8,29.3,0
Cason Wallace,OKC,36,7.6,7.6,5.7,20.9,1
Luguentz Dort,OKC,32,12.4,0.0,1.9,14.3,0
Buddy Boeheim,OKC,13,5.7,0.0,0.0,5.7,0
Alex Caruso,OKC,13,0.0,1.9,0.0,1.9,0
Brooks Barnhizer,OKC,0,0.0,0.0,0.0,0.0,0
Branden Carlson,OKC,0,0.0,0.0,0.0,0.0,0
Shai Gilgeous-Alexander,OKC,0,0.0,0.0,0.0,0.0,0
Ajay Mitchell,OKC,0,0.0,0.0,0.0,0.0,0
Thomas Sorber,OKC,0,0.0,0.0,0.0,0.0,0
Nikola Topić,OKC,0,0.0,0.0,0.0,0.0,0
Dillon Brooks,PHO,33,31.7,9.5,7.6,48.8,0
Jamaree Bouyea,PHO,36,15.1,5.7,11.4,32.2,1
Jordan Goodwin,PHO,37,16.5,7.6,7.6,31.700000000000003,1
Oso Ighodaro,PHO,22,11.0,7.6,3.8,22.4,0
Amir Coffey,PHO,28,12.4,9.5,3.8,25.7,0
Collin Gillespie,PHO,30,11.4,9.5,5.7,26.6,0
Royce O'Neale,PHO,32,16.5,3.8,3.8,24.1,0
Khaman Maluach,PHO,17,11.4,11.4,0.0,22.8,0
Rasheer Fleming,PHO,26,11.0,5.7,3.8,20.5,0
Ryan Dunn,PHO,30,3.8,7.6,1.9,13.3,0
Koby Brea,PHO,13,11.4,1.9,0.0,13.3,0
Mark Williams,PHO,21,11.4,1.9,0.0,13.3,0
Grayson Allen,PHO,0,0.0,0.0,0.0,0.0,0
Cole Anthony,PHO,0,0.0,0.0,0.0,0.0,0
Devin Booker,PHO,0,0.0,0.0,0.0,0.0,0
Jalen Green,PHO,0,0.0,0.0,0.0,0.0,0
Isaiah Livers,PHO,0,0.0,0.0,0.0,0.0,0
Devin Carter,SAC,40,26.2,9.5,7.6,43.3,1
